City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Talnakh,RU,2020-06-20 04:04:02,69.49,88.4,48.2,87,75,11.18
180,Husavik,IS,2020-06-20 04:03:58,66.04,-17.34,44.6,93,90,5.82
181,Fort Nelson,CA,2020-06-20 04:13:16,58.81,-122.7,80.6,39,75,2.24
182,Mason City,US,2020-06-20 04:13:17,43.15,-93.2,68.0,82,20,5.82
183,Dalhousie,IN,2020-06-20 04:13:17,32.53,75.98,84.52,21,1,3.98
184,Barrow,US,2020-06-20 04:13:17,71.29,-156.79,42.8,70,20,9.17
185,Yeppoon,AU,2020-06-20 04:13:18,-23.13,150.73,73.4,49,40,11.41
186,Nabire,ID,2020-06-20 04:13:18,-3.37,135.48,86.9,63,65,4.72
187,Kodiak,US,2020-06-20 04:03:44,57.79,-152.41,53.6,71,75,11.41
188,Tateyama,JP,2020-06-20 04:13:19,34.98,139.87,78.01,69,75,9.17
189,Ca Mau,VN,2020-06-20 04:13:19,9.18,105.15,85.32,72,100,4.43
190,Schmolln,DE,2020-06-20 04:13:20,50.9,12.37,59.0,93,100,4.7
191,Thompson,CA,2020-06-20 04:13:20,55.74,-97.86,46.4,93,90,10.29
192,Margate,GB,2020-06-20 04:04:30,51.38,1.39,57.99,93,100,1.01
193,Rawson,AR,2020-06-20 04:13:20,-43.3,-65.1,47.46,53,23,15.64
194,Bintulu,MY,2020-06-20 04:13:20,3.17,113.03,87.8,79,75,3.36
195,Chuy,UY,2020-06-20 04:13:21,-33.7,-53.46,54.1,95,94,3.24
196,Lucea,JM,2020-06-20 04:13:21,18.45,-78.17,82.99,69,20,9.17
197,Labuhan,ID,2020-06-20 04:13:21,-6.88,112.21,85.71,60,94,3.06
198,Pathein,MM,2020-06-20 04:13:21,16.78,94.73,82.63,82,99,8.43
199,Olaine,LV,2020-06-20 04:13:22,56.79,23.94,69.8,77,45,1.12
200,Wuwei,CN,2020-06-20 04:13:22,37.93,102.64,91.0,24,64,7.58
201,Mount Isa,AU,2020-06-20 04:04:04,-20.73,139.5,80.6,28,0,10.29
202,Cape Town,ZA,2020-06-20 04:13:22,-33.93,18.42,60.01,93,75,4.7
203,Baruun-Urt,MN,2020-06-20 04:13:22,46.68,113.28,76.44,51,97,14.0
204,Puerto Escondido,MX,2020-06-20 04:13:23,15.85,-97.07,81.66,78,98,3.74
205,Dubbo,AU,2020-06-20 04:13:23,-32.25,148.62,66.2,59,27,20.8
206,Longyearbyen,SJ,2020-06-20 04:13:23,78.22,15.64,42.8,73,20,16.11
207,Dzerzhinsk,RU,2020-06-20 04:13:23,56.24,43.46,66.2,82,40,8.95
208,Chapais,CA,2020-06-20 04:01:57,49.78,-74.85,71.6,73,75,14.99
209,Chokurdakh,RU,2020-06-20 04:13:25,70.63,147.92,91.81,16,47,9.24
210,Sola,VU,2020-06-20 04:13:25,-13.88,167.55,86.0,70,75,10.29
211,Kutum,SD,2020-06-20 04:13:25,14.2,24.67,72.03,36,6,7.96
212,Ampanihy,MG,2020-06-20 04:13:25,-24.7,44.75,58.5,91,7,7.43
213,Mardin,TR,2020-06-20 04:12:36,37.31,40.74,66.2,59,0,2.24
214,Kavaratti,IN,2020-06-20 04:13:26,10.57,72.64,86.0,74,40,5.82
215,Batagay,RU,2020-06-20 04:13:26,67.63,134.63,91.51,20,22,1.66
216,San Patricio,MX,2020-06-20 04:13:27,19.22,-104.7,78.42,70,1,1.19
217,Saint George,US,2020-06-20 04:03:32,37.1,-113.58,89.6,7,1,8.05
218,Inta,RU,2020-06-20 04:13:27,66.03,60.17,42.67,81,99,17.45
219,Iqaluit,CA,2020-06-20 04:10:52,63.75,-68.51,37.4,86,75,8.05
220,Araruama,BR,2020-06-20 04:13:27,-22.87,-42.34,67.59,80,0,3.69
221,Bolshevik,BY,2020-06-20 04:13:28,54.01,27.57,66.2,82,58,6.71
222,Lebu,CL,2020-06-20 04:13:28,-37.62,-73.65,52.66,86,100,16.49
