City_ID,City,Country,Max Temp,Current Description,Rain (inches),Snow (inches),Lat,Lng,Hotel Name
368,Norman Wells,CA,62.6,light rain,0.0,0,65.28,-126.83,Heritage Hotel
369,Adre,TD,83.01,clear sky,0.0,0,13.47,22.2,
371,Evensk,RU,60.12,clear sky,0.0,0,61.95,159.23,
372,Alyangula,AU,64.4,heavy intensity rain,0.0,0,-13.85,136.42,Groote Eylandt Lodge
374,Reynosa,MX,93.99,scattered clouds,0.0,0,26.08,-98.28,Hotel El Camino Inn & Suites
375,Cockburn Town,TC,82.96,broken clouds,0.0,0,21.46,-71.14,Osprey Beach Hotel
376,Kulhudhuffushi,MV,83.64,overcast clouds,0.0,0,6.62,73.07,Haajy Guest House 1
377,Maceio,BR,78.8,scattered clouds,0.0,0,-9.67,-35.74,Mercure Maceio Pajucara Hotel
378,Hobyo,SO,80.13,clear sky,0.0,0,5.35,48.53,Osmani Hotel
379,Taltal,CL,65.12,few clouds,0.0,0,-25.4,-70.48,Residencial Karime
380,Sfantu Gheorghe,RO,60.01,scattered clouds,0.0,0,45.87,25.78,Hotel Park Sfantu Gheorghe
381,Sola,VU,79.86,broken clouds,0.0,0,-13.88,167.55,Leumerus Bungalows
382,Bac Lieu,VN,78.42,overcast clouds,0.0,0,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
384,Faanui,PF,79.75,scattered clouds,0.0,0,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
385,Colares,PT,66.99,few clouds,0.0,0,38.8,-9.45,Arribas Sintra Hotel
389,Los Llanos De Aridane,ES,71.6,clear sky,0.0,0,28.66,-17.92,Valle Aridane
390,Morogoro,TZ,68.0,broken clouds,0.0,0,-6.82,37.67,Nashera Hotel
392,Lyuban,BY,64.69,overcast clouds,0.0,0,52.8,28.0,
393,Stokmarknes,NO,62.01,clear sky,0.0,0,68.56,14.91,Vesterålen Kysthotell
394,Bathsheba,BB,84.2,scattered clouds,0.0,0,13.22,-59.52,Atlantis Hotel
395,Laguna,US,87.01,clear sky,0.0,0,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
396,Popondetta,PG,74.03,broken clouds,0.0,0,-8.75,148.25,Timos Transit House
